# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1     0.01      14      14     -2.94         1       0
    2     0.03      10       5     -2.82         0       2
    3     0.05       7       8      -2.7         2       0
    4     0.07       5       7     -2.58         1       2
    5     0.09      12      13     -2.46         1       2
    6     0.11       7       6     -2.34         1       2
    7     0.13      18      16     -2.22         2       0
    8     0.15       6       8      -2.1         2       3
    9     0.17       8      10     -1.98         0       1
   10     0.19       8      14     -1.86         3       4
   11     0.21      11      14     -1.74         1       0
   12     0.23      10      16     -1.62         6       7
   13     0.25       9       4      -1.5         7       5
   14     0.27       5       7     -1.38         7       7
   15     0.29      15      10     -1.26        14       8
   16     0.31      10      12     -1.14         9      13
   17     0.33       8      11     -1.02        19      18
   18     0.35      10       7      -0.9        17       8
   19     0.37      11      12     -0.78        17      20
   20     0.39      10       5     -0.66        22      25
   21     0.41       6      10     -0.54        17      26
   22     0.43       7       9     -0.42        21      16
   23     0.45       6       3      -0.3        33      25
   24     0.47      12       5     -0.18        25      21
   25     0.49       6       9     -0.06        23      40
   26     0.51      11      12      0.06        25      30
   27     0.53      15      13      0.18        25      23
   28     0.55       9       7       0.3        21      25
   29     0.57       4       9      0.42        26      25
   30     0.59      12      18      0.54        17      14
   31     0.61      13      14      0.66        16      15
   32     0.63      14      11      0.78        21      18
   33     0.65      12      13       0.9        20      19
   34     0.67      13      13      1.02         7      10
   35     0.69       9      13      1.14        11      12
   36     0.71      10      15      1.26        10      10
   37     0.73      10       5      1.38         8      10
   38     0.75      11       8       1.5         5       7
   39     0.77      11      11      1.62         9       6
   40     0.79      14       5      1.74         3       8
   41     0.81      16       8      1.86         6       2
   42     0.83       9      12      1.98         4       2
   43     0.85       6       9       2.1         7       2
   44     0.87       4       5      2.22         1       1
   45     0.89       8      12      2.34         1       3
   46     0.91      10       9      2.46         2       0
   47     0.93      13       8      2.58         1       0
   48     0.95      10       9       2.7         1       2
   49     0.97      10      12      2.82         1       1
   50     0.99      15      14      2.94         0       0
